pt_name,pt_code,soc_name,soc_code
actinic keratosis,10000614.0,Skin and subcutaneous tissue disorders,10040785.0
actinomycotic abdominal infection,10000621.0,Infections and infestations,10021881.0
activated partial thromboplastin time prolonged,10000636.0,Investigations,10022891.0
activated partial thromboplastin time ratio decreased,10075285.0,Investigations,10022891.0
activated partial thromboplastin time shortened,10000637.0,Investigations,10022891.0
acute abdomen,10000647.0,Gastrointestinal disorders,10017947.0
acute coronary syndrome,10051592.0,Cardiac disorders,10007541.0
acute generalised exanthematous pustulosis,10048799.0,Skin and subcutaneous tissue disorders,10040785.0
acute hepatic failure,10000804.0,Hepatobiliary disorders,10019805.0
acute hepatitis c,10065051.0,Infections and infestations,10021881.0
acute interstitial pneumonitis,10066728.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
acute kidney injury,10069339.0,Renal and urinary disorders,10038359.0
acute left ventricular failure,10063081.0,Cardiac disorders,10007541.0
acute lymphocytic leukaemia,10000846.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
acute lymphocytic leukaemia recurrent,10063620.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
acute myeloid leukaemia,10000880.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
acute myocardial infarction,10000891.0,Cardiac disorders,10007541.0
acute oesophageal mucosal lesion,10080386.0,Gastrointestinal disorders,10017947.0
acute polyneuropathy,10066699.0,Nervous system disorders,10029205.0
acute promyelocytic leukaemia,10001019.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
acute pulmonary oedema,10001029.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
acute respiratory distress syndrome,10001052.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
acute respiratory failure,10001053.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
acute sinusitis,10001076.0,Infections and infestations,10021881.0
acute stress disorder,10001084.0,Psychiatric disorders,10037175.0
adenocarcinoma,10001141.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
adenocarcinoma gastric,10001150.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
adenocarcinoma of colon,10001167.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
adenocarcinoma pancreas,10052747.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
adenomyosis,10056268.0,Reproductive system and breast disorders,10038604.0
adjusted calcium decreased,10074757.0,Investigations,10022891.0
adjusted calcium increased,10078260.0,Investigations,10022891.0
adrenal adenoma,10001323.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
adrenal gland cancer,10073152.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
adrenal mass,10053235.0,Endocrine disorders,10014698.0
adrenal neoplasm,10061588.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
adverse drug reaction,10061623.0,General disorders and administration site conditions,10018065.0
adverse event,10060933.0,General disorders and administration site conditions,10018065.0
adverse food reaction,10077759.0,General disorders and administration site conditions,10018065.0
adverse reaction,10067484.0,General disorders and administration site conditions,10018065.0
affect lability,10054196.0,Psychiatric disorders,10037175.0
affective disorder,10001443.0,Psychiatric disorders,10037175.0
ageusia,10001480.0,Nervous system disorders,10029205.0
agitation,10001497.0,Psychiatric disorders,10037175.0
agranulocytosis,10001507.0,Blood and lymphatic system disorders,10005329.0
akathisia,10001540.0,Nervous system disorders,10029205.0
alanine aminotransferase,10001546.0,Investigations,10022891.0
alanine aminotransferase abnormal,10001547.0,Investigations,10022891.0
alanine aminotransferase decreased,10001549.0,Investigations,10022891.0
alanine aminotransferase increased,10001551.0,Investigations,10022891.0
alcohol poisoning,10001605.0,"Injury, poisoning and procedural complications",10022117.0
alcoholic liver disease,10001627.0,Hepatobiliary disorders,10019805.0
allergic cough,10053779.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
allergic hepatitis,10071198.0,Hepatobiliary disorders,10019805.0
allergic sinusitis,10049153.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
allergy to arthropod bite,10058285.0,Immune system disorders,10021428.0
alopecia,10001760.0,Skin and subcutaneous tissue disorders,10040785.0
alpha-1 antitrypsin deficiency,10083869.0,"Congenital, familial and genetic disorders",10010331.0
altered state of consciousness,10001854.0,Nervous system disorders,10029205.0
alveolar aeration excessive,10001874.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
alveolitis,10001889.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
amaurosis fugax,10001903.0,Eye disorders,10015919.0
amenorrhoea,10001928.0,Reproductive system and breast disorders,10038604.0
amino acid level abnormal,10063262.0,Investigations,10022891.0
amnesia,10001949.0,Nervous system disorders,10029205.0
amoebiasis,10001980.0,Infections and infestations,10021881.0
anaemia,10002034.0,Blood and lymphatic system disorders,10005329.0
anaemia folate deficiency,10002043.0,Blood and lymphatic system disorders,10005329.0
anaemia macrocytic,10002064.0,Blood and lymphatic system disorders,10005329.0
anaemia vitamin b6 deficiency,10002081.0,Blood and lymphatic system disorders,10005329.0
anaesthesia,10002091.0,Nervous system disorders,10029205.0
anal abscess,10048946.0,Infections and infestations,10021881.0
anal cancer,10061424.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
anal fissure,10002153.0,Gastrointestinal disorders,10017947.0
anal fissure haemorrhage,10079765.0,Gastrointestinal disorders,10017947.0
anal fistula,10002156.0,Gastrointestinal disorders,10017947.0
anal haemorrhage,10049555.0,Gastrointestinal disorders,10017947.0
anal incontinence,10077605.0,Gastrointestinal disorders,10017947.0
anal inflammation,10050247.0,Gastrointestinal disorders,10017947.0
anaphylactic reaction,10002198.0,Immune system disorders,10021428.0
anaphylactic shock,10002199.0,Immune system disorders,10021428.0
aneurysm,10002329.0,Vascular disorders,10047065.0
anger,10002368.0,Psychiatric disorders,10037175.0
angina pectoris,10002383.0,Cardiac disorders,10007541.0
angina unstable,10002388.0,Cardiac disorders,10007541.0
angiodysplasia,10061636.0,Vascular disorders,10047065.0
angioedema,10002424.0,Skin and subcutaneous tissue disorders,10040785.0
angiopathy,10059245.0,Vascular disorders,10047065.0
angular cheilitis,10002509.0,Gastrointestinal disorders,10017947.0
anhedonia,10002511.0,Psychiatric disorders,10037175.0
animal bite,10002515.0,"Injury, poisoning and procedural complications",10022117.0
animal scratch,10002519.0,"Injury, poisoning and procedural complications",10022117.0
anisochromia,10049522.0,Blood and lymphatic system disorders,10005329.0
anisocytosis,10002536.0,Blood and lymphatic system disorders,10005329.0
anisomastia,10068732.0,Reproductive system and breast disorders,10038604.0
ankle fracture,10002544.0,"Injury, poisoning and procedural complications",10022117.0
anogenital warts,10059313.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
anonychia,10081861.0,Skin and subcutaneous tissue disorders,10040785.0
anorectal discomfort,10068286.0,Gastrointestinal disorders,10017947.0
anorectal disorder,10002644.0,Gastrointestinal disorders,10017947.0
anosmia,10002653.0,Nervous system disorders,10029205.0
antimicrobial susceptibility test resistant,10002793.0,Investigations,10022891.0
antineutrophil cytoplasmic antibody decreased,10060139.0,Investigations,10022891.0
antineutrophil cytoplasmic antibody positive,10060136.0,Investigations,10022891.0
antinuclear antibody increased,10064726.0,Investigations,10022891.0
antinuclear antibody positive,10060055.0,Investigations,10022891.0
anuria,10002847.0,Renal and urinary disorders,10038359.0
anxiety,10002855.0,Psychiatric disorders,10037175.0
anxiety disorder,10057666.0,Psychiatric disorders,10037175.0
aortic aneurysm,10002882.0,Vascular disorders,10047065.0
aortic arteriosclerosis,10065558.0,Vascular disorders,10047065.0
aortic elongation,10065510.0,Vascular disorders,10047065.0
aortic injury,10002899.0,"Injury, poisoning and procedural complications",10022117.0
aortic stenosis,10002906.0,Vascular disorders,10047065.0
aortic valve disease,10061589.0,Cardiac disorders,10007541.0
aortic valve disease mixed,10002912.0,Cardiac disorders,10007541.0
aortic valve incompetence,10002915.0,Cardiac disorders,10007541.0
aortic valve sclerosis,10002917.0,Cardiac disorders,10007541.0
aortic valve stenosis,10002918.0,Cardiac disorders,10007541.0
apathy,10002942.0,Psychiatric disorders,10037175.0
aphasia,10002948.0,Nervous system disorders,10029205.0
aphonia,10002953.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
aphthous ulcer,10002959.0,Gastrointestinal disorders,10017947.0
aplasia,10002961.0,"Congenital, familial and genetic disorders",10010331.0
aplastic anaemia,10002967.0,Blood and lymphatic system disorders,10005329.0
apparent death,10067476.0,General disorders and administration site conditions,10018065.0
appendicitis,10003011.0,Infections and infestations,10021881.0
appendicitis perforated,10003012.0,Infections and infestations,10021881.0
appendix disorder,10060960.0,Gastrointestinal disorders,10017947.0
appetite disorder,10060961.0,Metabolism and nutrition disorders,10027433.0
application site bruise,10050114.0,General disorders and administration site conditions,10018065.0
application site discolouration,10059005.0,General disorders and administration site conditions,10018065.0
application site discomfort,10063072.0,General disorders and administration site conditions,10018065.0
application site erythema,10003041.0,General disorders and administration site conditions,10018065.0
application site exfoliation,10064578.0,General disorders and administration site conditions,10018065.0
application site inflammation,10049042.0,General disorders and administration site conditions,10018065.0
application site injury,10076007.0,General disorders and administration site conditions,10018065.0
application site oedema,10003050.0,General disorders and administration site conditions,10018065.0
application site pain,10003051.0,General disorders and administration site conditions,10018065.0
application site pruritus,10003053.0,General disorders and administration site conditions,10018065.0
application site swelling,10053424.0,General disorders and administration site conditions,10018065.0
aptyalism,10003068.0,Gastrointestinal disorders,10017947.0
arrhythmia,10003119.0,Cardiac disorders,10007541.0
arrhythmia supraventricular,10003130.0,Cardiac disorders,10007541.0
arterial injury,10003162.0,"Injury, poisoning and procedural complications",10022117.0
arterial thrombosis,10003178.0,Vascular disorders,10047065.0
arteriosclerosis,10003210.0,Vascular disorders,10047065.0
arteriosclerosis coronary artery,10003211.0,Cardiac disorders,10007541.0
arteriospasm coronary,10003225.0,Cardiac disorders,10007541.0
arthralgia,10003239.0,Musculoskeletal and connective tissue disorders,10028395.0
arthritis,10003246.0,Musculoskeletal and connective tissue disorders,10028395.0
arthritis bacterial,10053555.0,Infections and infestations,10021881.0
arthropathy,10003285.0,Musculoskeletal and connective tissue disorders,10028395.0
arthropod bite,10003399.0,"Injury, poisoning and procedural complications",10022117.0
arthropod sting,10003402.0,"Injury, poisoning and procedural complications",10022117.0
ascites,10003445.0,Gastrointestinal disorders,10017947.0
aspartate aminotransferase,10003476.0,Investigations,10022891.0
aspartate aminotransferase abnormal,10003477.0,Investigations,10022891.0
aspartate aminotransferase decreased,10003479.0,Investigations,10022891.0
aspartate aminotransferase increased,10003481.0,Investigations,10022891.0
asphyxia,10003497.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
aspiration,10003504.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
aspiration pleural cavity,10003522.0,Investigations,10022891.0
ast/alt ratio abnormal,10082832.0,Investigations,10022891.0
asterixis,10003547.0,Nervous system disorders,10029205.0
asthenia,10003549.0,General disorders and administration site conditions,10018065.0
asthenopia,10003552.0,Eye disorders,10015919.0
asthma,10003553.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
asthmatic crisis,10064823.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
astigmatism,10003569.0,Eye disorders,10015919.0
"astrocytoma, low grade",10065869.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
ataxia,10003591.0,Nervous system disorders,10029205.0
atelectasis,10003598.0,"Respiratory, thoracic and mediastinal disorders",10038738.0
atrial enlargement,10079340.0,Cardiac disorders,10007541.0
atrial fibrillation,10003658.0,Cardiac disorders,10007541.0
atrial flutter,10003662.0,Cardiac disorders,10007541.0
atrial thrombosis,10048632.0,Cardiac disorders,10007541.0
atrioventricular block,10003671.0,Cardiac disorders,10007541.0
atrioventricular block complete,10003673.0,Cardiac disorders,10007541.0
atrioventricular block first degree,10003674.0,Cardiac disorders,10007541.0
atrioventricular block second degree,10003677.0,Cardiac disorders,10007541.0
atrioventricular conduction time shortened,10068180.0,Cardiac disorders,10007541.0
atrophic vulvovaginitis,10003693.0,Reproductive system and breast disorders,10038604.0
atrophy,10003694.0,General disorders and administration site conditions,10018065.0
atypical pneumonia,10003757.0,Infections and infestations,10021881.0
aura,10003791.0,Nervous system disorders,10029205.0
autoimmune colitis,10075761.0,Gastrointestinal disorders,10017947.0
autoimmune disorder,10061664.0,Immune system disorders,10021428.0
autoimmune haemolytic anaemia,10073785.0,Blood and lymphatic system disorders,10005329.0
autoimmune hepatitis,10003827.0,Hepatobiliary disorders,10019805.0
autoimmune pancreatitis,10069002.0,Gastrointestinal disorders,10017947.0
autoimmune thyroiditis,10049046.0,Endocrine disorders,10014698.0
autonomic nervous system imbalance,10003840.0,Nervous system disorders,10029205.0
autoscopy,10074080.0,Psychiatric disorders,10037175.0
aversion,10063659.0,Psychiatric disorders,10037175.0
axillary mass,10049021.0,Musculoskeletal and connective tissue disorders,10028395.0
axillary pain,10048750.0,General disorders and administration site conditions,10018065.0
azotaemia,10003885.0,Renal and urinary disorders,10038359.0
b-cell lymphoma stage iv,10003907.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
back disorder,10003983.0,Musculoskeletal and connective tissue disorders,10028395.0
back injury,10003986.0,"Injury, poisoning and procedural complications",10022117.0
back pain,10003988.0,Musculoskeletal and connective tissue disorders,10028395.0
bacteraemia,10003997.0,Infections and infestations,10021881.0
bacterial abdominal infection,10078660.0,Infections and infestations,10021881.0
bacterial infection,10060945.0,Infections and infestations,10021881.0
bacterial pyelonephritis,10059517.0,Infections and infestations,10021881.0
bacterial sepsis,10053840.0,Infections and infestations,10021881.0
bacterial test positive,10059421.0,Investigations,10022891.0
bacteriuria,10004056.0,Infections and infestations,10021881.0
balance disorder,10049848.0,Nervous system disorders,10029205.0
barrett's oesophagus,10004137.0,Gastrointestinal disorders,10017947.0
bartter's syndrome,10050839.0,"Congenital, familial and genetic disorders",10010331.0
basal cell carcinoma,10004146.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
basal cell carcinoma metastatic,10083708.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
basal ganglia infarction,10069020.0,Nervous system disorders,10029205.0
base excess increased,10059993.0,Investigations,10022891.0
basophil count abnormal,10060978.0,Investigations,10022891.0
basophil count decreased,10004167.0,Investigations,10022891.0
basophil count increased,10004169.0,Investigations,10022891.0
basophil percentage increased,10052220.0,Investigations,10022891.0
bedridden,10048948.0,Social circumstances,10041244.0
behaviour disorder,10004207.0,Psychiatric disorders,10037175.0
bell's palsy,10004223.0,Nervous system disorders,10029205.0
benign bone neoplasm,10060993.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
benign breast neoplasm,10004243.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
benign hydatidiform mole,10004272.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
benign lung neoplasm,10004280.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
benign lymph node neoplasm,10060997.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
benign neoplasm,10060999.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
benign neoplasm of skin,10004398.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
benign neoplasm of spinal cord,10004406.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
benign neoplasm of thyroid gland,10004412.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
benign ovarian tumour,10004433.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
,,,
bicytopenia,10058956.0,Blood and lymphatic system disorders,10005329.0
,,,
bile duct stenosis,10051341.0,Hepatobiliary disorders,10019805.0
bile output abnormal,10051344.0,Investigations,10022891.0
biliary colic,10004663.0,Hepatobiliary disorders,10019805.0
biliary dilatation,10057202.0,Hepatobiliary disorders,10019805.0
biliary obstruction,10084247.0,Hepatobiliary disorders,10019805.0
biliary sepsis,10057847.0,Infections and infestations,10021881.0
biliary tract disorder,10061008.0,Hepatobiliary disorders,10019805.0
bilirubin conjugated abnormal,10067718.0,Investigations,10022891.0
bilirubin conjugated increased,10004685.0,Investigations,10022891.0
biopsy breast,10004744.0,Investigations,10022891.0
biopsy colon,10004759.0,Investigations,10022891.0
bipolar disorder,10057667.0,Psychiatric disorders,10037175.0
bladder cancer,10005003.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
bladder dilatation,10005033.0,Renal and urinary disorders,10038359.0
bladder discomfort,10005034.0,Renal and urinary disorders,10038359.0
bladder disorder,10061011.0,Renal and urinary disorders,10038359.0
bladder injury,10061698.0,"Injury, poisoning and procedural complications",10022117.0
bladder neoplasm,10005056.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
bladder pain,10005063.0,Renal and urinary disorders,10038359.0
bladder spasm,10048994.0,Renal and urinary disorders,10038359.0
blepharitis,10005148.0,Eye disorders,10015919.0
blindness,10005169.0,Eye disorders,10015919.0
blindness unilateral,10005186.0,Eye disorders,10015919.0
blister,10005191.0,Skin and subcutaneous tissue disorders,10040785.0
blister infected,10005192.0,Infections and infestations,10021881.0
blood acid phosphatase increased,10005282.0,Investigations,10022891.0
blood albumin abnormal,10005286.0,Investigations,10022891.0
blood albumin decreased,10005287.0,Investigations,10022891.0
blood albumin increased,10005288.0,Investigations,10022891.0
blood alkaline phosphatase,10005298.0,Investigations,10022891.0
blood alkaline phosphatase abnormal,10059571.0,Investigations,10022891.0
blood alkaline phosphatase decreased,10059569.0,Investigations,10022891.0
blood alkaline phosphatase increased,10059570.0,Investigations,10022891.0
blood antidiuretic hormone increased,10005335.0,Investigations,10022891.0
blood bilirubin,10005362.0,Investigations,10022891.0
blood bilirubin abnormal,10058477.0,Investigations,10022891.0
blood bilirubin decreased,10049869.0,Investigations,10022891.0
blood bilirubin increased,10005364.0,Investigations,10022891.0
blood calcium abnormal,10005393.0,Investigations,10022891.0
blood calcium decreased,10005395.0,Investigations,10022891.0
blood calcium increased,10005396.0,Investigations,10022891.0
blood chloride decreased,10005419.0,Investigations,10022891.0
blood chloride increased,10005420.0,Investigations,10022891.0
blood cholesterol abnormal,10005423.0,Investigations,10022891.0
blood cholesterol decreased,10005424.0,Investigations,10022891.0
blood cholesterol increased,10005425.0,Investigations,10022891.0
blood cholinesterase decreased,10005430.0,Investigations,10022891.0
blood cholinesterase increased,10005431.0,Investigations,10022891.0
blood count,10064196.0,Investigations,10022891.0
blood count abnormal,10064198.0,Investigations,10022891.0
blood creatine abnormal,10005462.0,Investigations,10022891.0
blood creatine increased,10005464.0,Investigations,10022891.0
blood creatine phosphokinase increased,10005470.0,Investigations,10022891.0
blood creatine phosphokinase mb increased,10005474.0,Investigations,10022891.0
blood creatinine,10005480.0,Investigations,10022891.0
blood creatinine abnormal,10005481.0,Investigations,10022891.0
blood creatinine decreased,10005482.0,Investigations,10022891.0
blood creatinine increased,10005483.0,Investigations,10022891.0
blood disorder,10061590.0,Blood and lymphatic system disorders,10005329.0
blood electrolytes abnormal,10061014.0,Investigations,10022891.0
blood electrolytes decreased,10061715.0,Investigations,10022891.0
blood electrolytes increased,10061716.0,Investigations,10022891.0
blood fibrinogen increased,10005521.0,Investigations,10022891.0
blood follicle stimulating hormone decreased,10005533.0,Investigations,10022891.0
blood gases,10005537.0,Investigations,10022891.0
blood glucose abnormal,10005554.0,Investigations,10022891.0
blood glucose decreased,10005555.0,Investigations,10022891.0
blood glucose fluctuation,10049803.0,Investigations,10022891.0
blood glucose increased,10005557.0,Investigations,10022891.0
blood immunoglobulin g increased,10005596.0,Investigations,10022891.0
blood insulin increased,10005614.0,Investigations,10022891.0
blood iron abnormal,10005617.0,Investigations,10022891.0
blood iron decreased,10005619.0,Investigations,10022891.0
blood iron increased,10005620.0,Investigations,10022891.0
blood lactate dehydrogenase,10005626.0,Investigations,10022891.0
blood lactate dehydrogenase abnormal,10005627.0,Investigations,10022891.0
blood lactate dehydrogenase increased,10005630.0,Investigations,10022891.0
blood loss anaemia,10082297.0,Blood and lymphatic system disorders,10005329.0
blood magnesium abnormal,10005652.0,Investigations,10022891.0
blood magnesium decreased,10005654.0,Investigations,10022891.0
blood magnesium increased,10005655.0,Investigations,10022891.0
blood oestrogen abnormal,10005685.0,Investigations,10022891.0
blood oestrogen decreased,10005687.0,Investigations,10022891.0
blood oestrogen increased,10005688.0,Investigations,10022891.0
blood ph decreased,10005706.0,Investigations,10022891.0
blood phosphorus abnormal,10054823.0,Investigations,10022891.0
blood phosphorus decreased,10049471.0,Investigations,10022891.0
blood phosphorus increased,10050196.0,Investigations,10022891.0
blood potassium abnormal,10005722.0,Investigations,10022891.0
blood potassium decreased,10005724.0,Investigations,10022891.0
blood potassium increased,10005725.0,Investigations,10022891.0
blood pressure abnormal,10005728.0,Investigations,10022891.0
blood pressure decreased,10005734.0,Investigations,10022891.0
blood pressure diastolic decreased,10005737.0,Investigations,10022891.0
blood pressure fluctuation,10005746.0,Vascular disorders,10047065.0
blood pressure inadequately controlled,10051128.0,Vascular disorders,10047065.0
blood pressure increased,10005750.0,Investigations,10022891.0
blood pressure systolic decreased,10005758.0,Investigations,10022891.0
blood pressure systolic increased,10005760.0,Investigations,10022891.0
blood smear test abnormal,10059665.0,Investigations,10022891.0
blood sodium abnormal,10005800.0,Investigations,10022891.0
blood sodium decreased,10005802.0,Investigations,10022891.0
blood sodium increased,10005803.0,Investigations,10022891.0
blood test,10061726.0,Investigations,10022891.0
blood test abnormal,10061016.0,Investigations,10022891.0
blood thyroid stimulating hormone abnormal,10005830.0,Investigations,10022891.0
blood thyroid stimulating hormone decreased,10005832.0,Investigations,10022891.0
blood thyroid stimulating hormone increased,10005833.0,Investigations,10022891.0
blood triglycerides abnormal,10005837.0,Investigations,10022891.0
blood triglycerides decreased,10005838.0,Investigations,10022891.0
blood triglycerides increased,10005839.0,Investigations,10022891.0
blood urea abnormal,10005846.0,Investigations,10022891.0
blood urea decreased,10005850.0,Investigations,10022891.0
blood urea increased,10005851.0,Investigations,10022891.0
blood uric acid increased,10005861.0,Investigations,10022891.0
blood urine,10005863.0,Investigations,10022891.0
blood urine present,10018870.0,Investigations,10022891.0
blood viscosity decreased,10074727.0,Investigations,10022891.0
body dysmorphic disorder,10052793.0,Psychiatric disorders,10037175.0
body height decreased,10056812.0,Investigations,10022891.0
body mass index abnormal,10074506.0,Investigations,10022891.0
body mass index decreased,10005895.0,Investigations,10022891.0
body mass index increased,10005897.0,Investigations,10022891.0
body temperature,10005906.0,Investigations,10022891.0
body temperature abnormal,10075265.0,Investigations,10022891.0
body temperature decreased,10005910.0,Investigations,10022891.0
body temperature fluctuation,10063488.0,Investigations,10022891.0
body temperature increased,10005911.0,Investigations,10022891.0
body tinea,10005913.0,Infections and infestations,10021881.0
bone atrophy,10068975.0,Musculoskeletal and connective tissue disorders,10028395.0
bone cancer,10005949.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
bone cancer metastatic,10055101.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
bone contusion,10066251.0,"Injury, poisoning and procedural complications",10022117.0
bone cyst,10005952.0,Musculoskeletal and connective tissue disorders,10028395.0
,,,
bone density decreased,10049470.0,Investigations,10022891.0
bone density increased,10057864.0,Investigations,10022891.0
bone development abnormal,10005954.0,Musculoskeletal and connective tissue disorders,10028395.0
bone disorder,10005956.0,Musculoskeletal and connective tissue disorders,10028395.0
bone erosion,10051728.0,Musculoskeletal and connective tissue disorders,10028395.0
bone fissure,10064210.0,"Injury, poisoning and procedural complications",10022117.0
bone formation increased,10005963.0,Musculoskeletal and connective tissue disorders,10028395.0
bone hypertrophy,10005973.0,Musculoskeletal and connective tissue disorders,10028395.0
bone lesion,10061728.0,Musculoskeletal and connective tissue disorders,10028395.0
bone loss,10065687.0,Musculoskeletal and connective tissue disorders,10028395.0
bone marrow disorder,10061729.0,Blood and lymphatic system disorders,10005329.0
bone marrow failure,10065553.0,Blood and lymphatic system disorders,10005329.0
bone marrow infiltration,10075173.0,Blood and lymphatic system disorders,10005329.0
bone metabolism disorder,10058972.0,Musculoskeletal and connective tissue disorders,10028395.0
bone neoplasm,10005995.0,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)",10029104.0
bone pain,10006002.0,Musculoskeletal and connective tissue disorders,10028395.0
bone scan,10006009.0,Investigations,10022891.0
bone scan abnormal,10061941.0,Investigations,10022891.0
bone swelling,10053631.0,Musculoskeletal and connective tissue disorders,10028395.0
